Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Ubi1_1 Spectral Count	Ubi1_2 Spectral Count	Ubi1_3 Spectral Count	Ubi4_1 Spectral Count	Ubi4_2 Spectral Count	Ubi4_3 Spectral Count	Ubi6_1 Spectral Count	Ubi6_2 Spectral Count	Ubi6_3 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Ubi1_1 Unique Spectral Count	Ubi1_2 Unique Spectral Count	Ubi1_3 Unique Spectral Count	Ubi4_1 Unique Spectral Count	Ubi4_2 Unique Spectral Count	Ubi4_3 Unique Spectral Count	Ubi6_1 Unique Spectral Count	Ubi6_2 Unique Spectral Count	Ubi6_3 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Ubi1_1 Total Spectral Count	Ubi1_2 Total Spectral Count	Ubi1_3 Total Spectral Count	Ubi4_1 Total Spectral Count	Ubi4_2 Total Spectral Count	Ubi4_3 Total Spectral Count	Ubi6_1 Total Spectral Count	Ubi6_2 Total Spectral Count	Ubi6_3 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Ubi1_1 Intensity	Ubi1_2 Intensity	Ubi1_3 Intensity	Ubi4_1 Intensity	Ubi4_2 Intensity	Ubi4_3 Intensity	Ubi6_1 Intensity	Ubi6_2 Intensity	Ubi6_3 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Ubi1_1 MaxLFQ Intensity	Ubi1_2 MaxLFQ Intensity	Ubi1_3 MaxLFQ Intensity	Ubi4_1 MaxLFQ Intensity	Ubi4_2 MaxLFQ Intensity	Ubi4_3 MaxLFQ Intensity	Ubi6_1 MaxLFQ Intensity	Ubi6_2 MaxLFQ Intensity	Ubi6_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00711|LALBA_BOVIN	P00711	LALBA_BOVIN	LALBA	142	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-lactalbumin	1.0	0.9987	4	9	9	9	2	0	0	0	3	0	1	0	2	0	0	1	2	0	0	0	3	0	1	0	2	0	0	1	2	0	0	0	3	0	1	0	2	0	0	1	2.5876384E7	0.0	0.0	0.0	1.07595424E8	0.0	4.9708704E7	2.1222464E7	1.30768304E8	0.0	0.0	0.0	1.903927E7	0.0	0.0	0.0	5.3179928E7	0.0	0.0	0.0	8.0148928E7	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa OX=9823	1:Experimental evidence at protein level	Trypsin	1.0	0.999	8	198	197	198	14	20	16	15	17	18	12	17	19	18	15	17	14	20	16	15	17	18	11	17	19	18	15	17	14	20	16	15	17	18	12	17	19	18	15	17	5.2463313E10	5.6230035E10	4.1083154E10	5.1674579E10	3.6783649E10	1.54702971E10	5.4286651E10	4.9330504E10	1.61475738E10	6.0776944E10	1.13452759E10	1.56373135E10	2.44636303E10	2.65620214E10	2.96760463E10	2.90961572E10	2.99479245E10	2.65622938E10	2.17660047E10	1.67407094E10	2.63499428E10	2.5420884E10	1.32409201E10	2.17357251E10	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus OX=9986	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	13	86	0	86	7	7	10	3	7	4	4	5	6	9	9	15	0	0	0	0	0	0	0	0	0	0	0	0	7	7	10	3	7	4	4	5	6	9	9	15	7.1624256E8	3.09876704E8	4.95760256E8	3.8267984E8	3.36998304E8	2.96853376E8	5.24654848E8	3.1762224E8	7.3775949E8	4.95533312E8	1.07946406E9	1.27725491E9	2.0558992E8	1.14949904E8	1.2140744E8	1.13743296E8	9.2267024E7	1.26368816E8	1.27669952E8	1.40353376E8	1.71206416E8	1.61100128E8	2.36822032E8	2.42982736E8	sp|P04075|ALDOA_HUMAN
contam_sp|P01012|OVAL_CHICK	P01012	OVAL_CHICK	SERPINB14	386	Gallus gallus OX=9031	1:Experimental evidence at protein level	Ovalbumin	0.972	0.9971	2	2	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23476936E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	8	73	73	73	6	7	6	3	8	6	5	6	7	6	7	6	6	7	6	3	8	6	5	6	7	6	7	6	6	7	6	3	8	6	5	6	7	6	7	6	1.11093248E9	6.3654464E8	4.12806144E8	9.2846138E8	1.39268378E9	6.8059802E8	2.19668864E9	9.1857434E8	1.69775629E9	7.6224371E8	8.0072013E8	6.0603866E8	6.1249754E8	2.83212928E8	2.64858624E8	4.1011408E8	5.07899648E8	3.1789952E8	7.1197274E8	3.76094688E8	6.48832E8	3.1036736E8	3.05898784E8	2.3210576E8	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-S2-casein	1.0	0.999	8	38	38	38	3	2	1	3	5	1	7	4	6	1	4	1	3	2	1	3	5	1	7	4	6	1	4	1	3	2	1	3	5	1	7	4	6	1	4	1	6.1233606E8	3.88058816E8	2.56717744E8	5.718329E8	1.05726451E9	2.02915184E8	1.60738304E9	3.9660976E8	1.30202163E9	3.17431232E8	6.0841357E8	6.8774451E8	3.3637056E8	2.62267136E8	1.99303696E8	2.7528704E8	4.57500544E8	1.94527584E8	7.3884301E8	2.65666768E8	6.9183552E8	2.78228896E8	3.07214304E8	3.17926464E8	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus OX=9913	1:Experimental evidence at protein level	Beta-casein	1.0	0.9971	3	12	12	12	2	0	1	1	2	0	0	1	1	1	2	1	2	0	1	1	2	0	0	1	1	1	2	1	2	0	1	1	2	0	0	1	1	1	2	1	4.39523168E8	0.0	1.6627808E8	7.347865E8	5.6854304E8	0.0	7.0488986E8	4.1383148E7	3.96912512E8	1.20344632E8	5.5089664E8	3.3381698E7	0.0	0.0	0.0	3.372304E8	3.19872864E8	0.0	6.8446528E8	0.0	4.72441248E8	1.6508944E8	4.04903296E8	0.0	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus OX=9913	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	2	30	30	30	2	3	2	4	3	2	4	1	4	2	1	2	2	3	2	4	3	2	4	1	4	2	1	2	2	3	2	4	3	2	4	1	4	2	1	2	2.95390208E8	1.1523632E8	9.9657256E7	1.24407984E8	6.7604582E8	1.11526896E8	3.90382752E8	9.594248E7	4.85397856E8	8.9395576E7	1.44921808E8	1.71673856E8	2.19467776E8	8.7435224E7	8.5663536E7	9.9082424E7	4.81749728E8	1.00212296E8	2.56521968E8	7.525056E7	3.08003616E8	8.2943344E7	8.810324E7	1.08354584E8	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus OX=9913	1:Experimental evidence at protein level	Albumin	1.0	0.999	10	46	39	46	4	2	3	2	7	5	4	2	8	4	2	3	2	2	2	2	5	5	4	2	6	4	2	3	4	2	3	2	7	5	4	2	8	4	2	3	5.3683972E7	2.5926726E7	2.0165706E7	5.92812E7	1.05834256E8	7.7768624E7	4.0153364E7	2.6316556E7	1.02579224E8	4.020158E7	2.3820264E7	2.687066E7	2.4501874E7	1.9522822E7	1.154633E7	2.5863716E7	1.9783762E7	2.3973232E7	2.132187E7	2.0995962E7	2.2323516E7	2.0785226E7	2.0046726E7	1.5480717E7	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	7	38	0	38	3	5	2	4	4	5	1	2	3	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	4	4	5	1	2	3	4	3	2	1.30694032E8	1.13153864E8	1.6498064E8	1.14583512E8	1.23745448E8	2.02948768E8	1.2363988E8	1.06877088E8	4.9683324E7	1.29080792E8	1.80183792E8	1.47073824E8	6.5345928E7	4.9736104E7	4.9802756E7	5.0071132E7	4.498952E7	6.0766852E7	7.667224E7	6.035386E7	0.0	6.680492E7	6.7246088E7	5.4426696E7	
